,gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
338,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 08:56:00+08:00,Interval.MINUTE,30.05903,0,0,109290.85,109400.0,109290.85,109399.99,BTCUSDT.BINANCE
339,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 08:57:00+08:00,Interval.MINUTE,11.78111,0,0,109399.99,109399.99,109347.1,109352.32,BTCUSDT.BINANCE
340,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 08:58:00+08:00,Interval.MINUTE,9.66787,0,0,109352.32,109353.56,109330.79,109347.86,BTCUSDT.BINANCE
341,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 08:59:00+08:00,Interval.MINUTE,9.83765,0,0,109347.85,109393.02,109347.85,109389.08,BTCUSDT.BINANCE
342,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:00:00+08:00,Interval.MINUTE,37.9765,0,0,109389.09,109410.28,109315.92,109315.93,BTCUSDT.BINANCE
343,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:01:00+08:00,Interval.MINUTE,12.75541,0,0,109315.92,109315.92,109272.0,109272.01,BTCUSDT.BINANCE
344,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:02:00+08:00,Interval.MINUTE,27.26602,0,0,109272.01,109308.91,109263.3,109265.5,BTCUSDT.BINANCE
345,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:03:00+08:00,Interval.MINUTE,9.55368,0,0,109265.49,109265.5,109212.89,109242.38,BTCUSDT.BINANCE
346,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:04:00+08:00,Interval.MINUTE,15.3752,0,0,109242.38,109264.05,109222.38,109222.39,BTCUSDT.BINANCE
347,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:05:00+08:00,Interval.MINUTE,9.11526,0,0,109222.39,109263.38,109215.54,109215.54,BTCUSDT.BINANCE
348,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:06:00+08:00,Interval.MINUTE,5.72228,0,0,109215.55,109257.88,109215.54,109257.88,BTCUSDT.BINANCE
349,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:07:00+08:00,Interval.MINUTE,6.60358,0,0,109257.87,109257.88,109210.9,109210.91,BTCUSDT.BINANCE
350,BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-31 09:08:00+08:00,Interval.MINUTE,9.31321,0,0,109210.91,109224.45,109188.81,109188.82,BTCUSDT.BINANCE
