gateway_name,symbol,exchange,datetime,interval,volume,turnover,open_interest,open_price,high_price,low_price,close_price,vt_symbol
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:45:00+08:00,Interval.MINUTE,8.05015,0,0,114590.88,114676.19,114560.0,114676.18,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:46:00+08:00,Interval.MINUTE,7.03136,0,0,114676.18,114710.01,114670.72,114710.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:47:00+08:00,Interval.MINUTE,15.61957,0,0,114710.0,114710.03,114673.04,114701.3,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:48:00+08:00,Interval.MINUTE,20.67557,0,0,114701.29,114762.2,114673.0,114726.07,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:49:00+08:00,Interval.MINUTE,8.78464,0,0,114726.06,114747.02,114712.53,114726.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:50:00+08:00,Interval.MINUTE,14.27951,0,0,114726.01,114726.68,114655.15,114680.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:51:00+08:00,Interval.MINUTE,10.92174,0,0,114679.99,114760.58,114679.99,114743.37,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:52:00+08:00,Interval.MINUTE,5.98496,0,0,114743.38,114759.91,114703.58,114759.91,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:53:00+08:00,Interval.MINUTE,8.18675,0,0,114759.91,114760.46,114738.32,114754.19,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:54:00+08:00,Interval.MINUTE,14.29302,0,0,114754.19,114780.0,114733.2,114756.02,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:55:00+08:00,Interval.MINUTE,11.28946,0,0,114756.02,114760.4,114686.77,114686.78,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:56:00+08:00,Interval.MINUTE,10.29299,0,0,114686.78,114739.58,114686.77,114739.58,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:57:00+08:00,Interval.MINUTE,26.08597,0,0,114739.57,114778.56,114739.57,114764.93,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:58:00+08:00,Interval.MINUTE,10.89144,0,0,114764.94,114764.94,114689.08,114689.08,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 16:59:00+08:00,Interval.MINUTE,8.79629,0,0,114689.08,114689.09,114615.99,114615.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:00:00+08:00,Interval.MINUTE,14.35394,0,0,114615.98,114648.42,114555.41,114648.42,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:01:00+08:00,Interval.MINUTE,79.69274,0,0,114648.41,115053.39,114648.41,115042.05,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:02:00+08:00,Interval.MINUTE,41.55365,0,0,115042.04,115075.87,115000.24,115026.35,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:03:00+08:00,Interval.MINUTE,36.83836,0,0,115026.35,115093.02,114921.31,114996.69,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:04:00+08:00,Interval.MINUTE,14.76275,0,0,114996.68,115100.0,114996.68,115099.99,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:05:00+08:00,Interval.MINUTE,15.87216,0,0,115100.0,115100.0,115000.0,115038.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:06:00+08:00,Interval.MINUTE,4.11515,0,0,115038.01,115100.0,115024.54,115100.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:07:00+08:00,Interval.MINUTE,14.23437,0,0,115099.99,115112.99,115035.51,115068.5,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:08:00+08:00,Interval.MINUTE,7.83206,0,0,115068.5,115090.74,115030.0,115030.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:09:00+08:00,Interval.MINUTE,15.41091,0,0,115030.01,115030.01,114970.69,114970.7,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:10:00+08:00,Interval.MINUTE,7.56342,0,0,114970.69,115030.0,114964.1,114971.22,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:11:00+08:00,Interval.MINUTE,11.86253,0,0,114971.22,114981.05,114913.88,114950.34,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:12:00+08:00,Interval.MINUTE,10.38799,0,0,114950.33,114989.15,114944.43,114950.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:13:00+08:00,Interval.MINUTE,13.50862,0,0,114950.01,115040.02,114925.89,115040.02,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:14:00+08:00,Interval.MINUTE,14.8214,0,0,115040.01,115048.15,114971.27,115004.76,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:15:00+08:00,Interval.MINUTE,6.53271,0,0,115004.76,115018.2,114968.59,115007.87,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:16:00+08:00,Interval.MINUTE,5.04417,0,0,115007.88,115051.52,115007.87,115038.02,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:17:00+08:00,Interval.MINUTE,9.01999,0,0,115038.02,115080.0,115030.0,115064.78,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:18:00+08:00,Interval.MINUTE,23.20042,0,0,115064.79,115153.22,115064.79,115153.22,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:19:00+08:00,Interval.MINUTE,13.74315,0,0,115153.22,115220.0,115153.21,115159.41,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:20:00+08:00,Interval.MINUTE,11.82128,0,0,115159.41,115191.58,115129.94,115165.25,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:21:00+08:00,Interval.MINUTE,18.21493,0,0,115165.25,115200.0,115165.24,115182.01,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:22:00+08:00,Interval.MINUTE,14.04114,0,0,115182.01,115240.0,115172.85,115240.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:23:00+08:00,Interval.MINUTE,13.75652,0,0,115240.0,115280.0,115239.99,115251.87,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:24:00+08:00,Interval.MINUTE,10.46519,0,0,115251.87,115284.86,115251.86,115280.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:25:00+08:00,Interval.MINUTE,6.27872,0,0,115280.0,115280.0,115243.21,115243.22,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:26:00+08:00,Interval.MINUTE,13.41589,0,0,115243.22,115251.94,115207.88,115247.52,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:27:00+08:00,Interval.MINUTE,2.5939,0,0,115247.53,115260.0,115240.0,115246.66,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:28:00+08:00,Interval.MINUTE,19.72347,0,0,115246.66,115270.0,115246.65,115261.02,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:29:00+08:00,Interval.MINUTE,14.55568,0,0,115261.01,115306.83,115261.01,115306.83,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:30:00+08:00,Interval.MINUTE,13.04969,0,0,115306.83,115328.89,115297.19,115304.51,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:31:00+08:00,Interval.MINUTE,13.37595,0,0,115304.5,115329.96,115304.5,115309.19,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:32:00+08:00,Interval.MINUTE,16.089,0,0,115309.19,115340.0,115285.57,115289.37,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:33:00+08:00,Interval.MINUTE,15.57767,0,0,115289.36,115289.36,115158.61,115158.62,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:34:00+08:00,Interval.MINUTE,20.70387,0,0,115158.62,115165.51,115128.01,115165.51,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:35:00+08:00,Interval.MINUTE,16.09248,0,0,115165.5,115199.97,115148.92,115176.98,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:36:00+08:00,Interval.MINUTE,4.64029,0,0,115176.99,115200.0,115155.88,115155.89,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:37:00+08:00,Interval.MINUTE,8.25701,0,0,115155.88,115210.19,115155.88,115185.39,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:38:00+08:00,Interval.MINUTE,5.64286,0,0,115185.39,115185.39,115129.12,115135.11,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:39:00+08:00,Interval.MINUTE,5.38938,0,0,115135.11,115222.93,115135.11,115222.92,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:40:00+08:00,Interval.MINUTE,7.22277,0,0,115222.93,115222.93,115164.17,115194.84,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:41:00+08:00,Interval.MINUTE,9.50066,0,0,115194.84,115194.84,115149.63,115177.13,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:42:00+08:00,Interval.MINUTE,5.44349,0,0,115177.12,115177.13,115130.0,115130.0,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:43:00+08:00,Interval.MINUTE,1.51577,0,0,115130.01,115154.58,115122.26,115146.67,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:44:00+08:00,Interval.MINUTE,10.38294,0,0,115146.68,115201.6,115146.67,115201.6,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:45:00+08:00,Interval.MINUTE,7.93844,0,0,115201.59,115201.59,115146.78,115146.78,BTCUSDT.BINANCE
BINANCE,BTCUSDT,Exchange.BINANCE,2025-08-01 17:46:00+08:00,Interval.MINUTE,11.59781,0,0,115146.78,115146.79,115118.22,115121.36,BTCUSDT.BINANCE
