,close
1294,115409.94
1295,115575.0
1296,115538.0
1297,115583.51
1298,115432.6
1299,115299.08
1300,115210.2
1301,115301.15
1302,115274.89
1303,115162.04
1304,114985.01
1305,114877.23
1306,114833.62
1307,114813.65
1308,114624.0
1309,114484.37
1310,114502.96
1311,114526.62
1312,114294.17
1313,114198.92
1314,114319.64
1315,114480.79
1316,114444.86
1317,114283.74
1318,114341.85
1319,114352.05
1320,114294.05
1321,114264.57
1322,114181.59
1323,114207.38
1324,114308.01
1325,114499.94
1326,114599.24
1327,114632.35
1328,114791.83
1329,114908.0
1330,115114.99
1331,115037.89
1332,115238.02
1333,115178.72
1334,115054.42
1335,114974.3
1336,115179.07
1337,115133.09
1338,115268.18
1339,115202.8
1340,115416.74
1341,115414.31
1342,115412.0
1343,115496.68
1344,115443.51
1345,115371.99
1346,115591.99
1347,115570.58
1348,115696.01
1349,115746.46
1350,115670.99
1351,115656.01
1352,115636.34
1353,115776.88
1354,115800.0
1355,115685.84
1356,115781.93
1357,115797.52
1358,115661.22
1359,115653.5
1360,115628.14
1361,115551.5
1362,115508.93
1363,115426.34
1364,115432.08
1365,115742.01
1366,115716.91
1367,115679.99
1368,115460.18
1369,115427.71
1370,115474.92
1371,115485.95
1372,115687.98
1373,115637.89
1374,115644.18
1375,115644.44
1376,115616.4
1377,115560.72
1378,115623.47
1379,115619.8
1380,115645.56
1381,115479.26
1382,115542.03
1383,115443.69
1384,115365.74
1385,115292.49
1386,115357.92
1387,115312.32
1388,115258.31
1389,115142.93
1390,115166.0
1391,115341.45
1392,115272.4
1393,115218.35
1394,115133.99
1395,115131.01
1396,115083.4
1397,114872.77
1398,114744.47
1399,114879.97
1400,114887.68
1401,114787.84
1402,114720.3
1403,114826.33
1404,114719.79
1405,114809.7
1406,114880.0
1407,114876.0
1408,114777.77
1409,114785.03
1410,114798.0
1411,114789.19
1412,114710.03
1413,114771.4
1414,114776.01
1415,114750.27
1416,114748.33
1417,114904.0
1418,115060.01
1419,115035.62
1420,115037.89
1421,115121.42
1422,115160.0
1423,115186.09
1424,115219.66
1425,115367.49
1426,115345.3
1427,115197.52
1428,115237.37
1429,115305.65
1430,115218.65
1431,115284.86
1432,115358.65
1433,115418.92
1434,115463.12
1435,115360.7
1436,115370.36
1437,115407.91
1438,115431.23
1439,115357.82
1440,115350.0
1441,115316.57
1442,115432.81
1443,115467.6
1444,115477.0
1445,115477.0
1446,115580.0
1447,115620.0
1448,115661.33
1449,115677.96
1450,115636.6
1451,115676.69
1452,115570.95
1453,115602.01
1454,115620.01
1455,115627.41
1456,115554.47
1457,115670.0
1458,115670.33
1459,115655.23
1460,115603.86
1461,115564.6
1462,115570.71
1463,115547.95
1464,115613.22
1465,115694.68
1466,115682.0
1467,115628.47
1468,115632.85
1469,115602.17
1470,115572.38
1471,115423.55
1472,115341.83
1473,115413.25
1474,115420.0
1475,115446.77
1476,115409.15
1477,115338.79
1478,115231.63
1479,115219.69
1480,115023.52
1481,115074.59
1482,115147.64
1483,115215.86
1484,115438.53
1485,115524.14
1486,115437.28
1487,115301.35
1488,115290.01
1489,115329.27
1490,115282.1
1491,115358.81
1492,115349.76
1493,115259.07
1494,115066.7
1495,114979.99
1496,114857.04
1497,114891.22
1498,114930.01
1499,115015.6
1500,114913.88
1501,114750.01
1502,114787.09
1503,114786.0
1504,114711.66
1505,114633.06
1506,114812.0
1507,114706.34
1508,114865.82
1509,114815.85
1510,114908.62
1511,114822.55
1512,114813.51
1513,114539.22
1514,114594.26
1515,114660.01
1516,114593.15
1517,114544.04
1518,114561.93
1519,114524.15
1520,114611.61
1521,114705.35
1522,114787.99
1523,114740.64
1524,114644.78
1525,114615.34
1526,114620.01
1527,114560.0
1528,114540.01
1529,114655.15
1530,114887.54
1531,114940.01
1532,114900.0
1533,114888.27
1534,114811.95
1535,114882.5
1536,114766.32
1537,114512.0
1538,114464.11
1539,114594.22
1540,114759.99
1541,114704.33
1542,114763.04
1543,114655.99
1544,114454.96
1545,114511.28
1546,114585.53
1547,114486.01
1548,114489.57
1549,114542.05
1550,114522.7
1551,114586.3
1552,114454.96
1553,114428.27
1554,114494.51
1555,114428.27
1556,114426.19
1557,114429.07
1558,114359.54
1559,114420.0
1560,114496.59
1561,114450.2
1562,114382.95
1563,114307.59
1564,114246.37
1565,114307.83
1566,114188.0
1567,114151.39
1568,114271.27
1569,114196.05
1570,114310.2
1571,114166.11
1572,114114.0
1573,114140.68
1574,114124.6
1575,114065.21
1576,113828.2
1577,113904.01
1578,114269.45
1579,113766.94
1580,113765.32
1581,113805.6
1582,113854.21
1583,113933.96
1584,113915.46
1585,114068.82
1586,114130.12
1587,114338.01
1588,114282.41
1589,114154.9
1590,114328.38
1591,114263.73
1592,114211.47
1593,114087.1
1594,114202.2
1595,114110.4
1596,114142.0
1597,114165.25
1598,114278.49
1599,114302.01
1600,114252.0
1601,114187.44
1602,114259.99
1603,114216.18
1604,114188.01
1605,114132.38
1606,114155.34
1607,114080.01
1608,114169.53
1609,114222.62
1610,114187.87
1611,113808.63
1612,113896.0
1613,113889.46
1614,113915.97
1615,113895.5
1616,113757.06
1617,113808.23
1618,113891.1
1619,113836.93
1620,113842.96
1621,113742.82
1622,113820.42
1623,113700.01
1624,113725.6
1625,113691.81
1626,113758.11
1627,113894.57
1628,113912.0
1629,113889.99
1630,113880.0
1631,113787.15
1632,113777.0
1633,113756.5
1634,113680.64
1635,113652.99
1636,113649.81
1637,113626.13
1638,113653.28
1639,113680.61
1640,113561.97
1641,113477.12
1642,113430.0
1643,113375.01
1644,113328.83
1645,113315.07
1646,113364.25
1647,113355.37
1648,113410.68
1649,113396.04
1650,113395.7
1651,113345.14
1652,113383.72
1653,113640.01
1654,113761.47
1655,113876.7
1656,113872.01
1657,113605.88
1658,113428.57
1659,113515.81
1660,113449.0
1661,113433.9
1662,113368.73
1663,113281.65
1664,113245.99
1665,113359.49
1666,113379.88
1667,113546.53
1668,113499.98
1669,113444.93
1670,113454.78
1671,113376.48
1672,113413.5
1673,113260.01
1674,113466.01
1675,113326.06
1676,113416.14
1677,113428.84
1678,113340.7
1679,113328.68
1680,113324.18
1681,113577.28
1682,113520.0
1683,113566.91
1684,113401.0
1685,113490.29
1686,113402.55
1687,113192.0
1688,113342.01
